"Specimen.ID","Eleginus gracilis","NA","Oncorhynchus keta","Oncorhynchus kisutch","Clupea pallasii","Coregonus laurettae","Parophrys vetulus","Limanda aspera","Osmerus mordax","Ammodytes hexapterus","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Pallasina barbata","Esox lucius","Myoxocephalus spp.","Salvelinus spp.","Stichaeus punctatus","Microcottus sellaris","NA.1","NA.2","Liparis spp."
"2017206",0.614,0,0.212,0.115,0,0.05,0,0,0,0,0,0,0,0.006,0,0.004,0,0,0,0,0
"2017230",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023157",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022Beluga-0713-SD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME002",0.139,0.177,0,0,0,0,0,0,0,0.684,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-S",0.954,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0
"EB23SH009-S",0.404,0.383,0,0,0,0,0.056,0.114,0.011,0.006,0.004,0.012,0.011,0,0,0,0,0,0,0,0
"EB24GAM020-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EB24PH055-S",0,0.958,0,0,0,0,0.023,0,0,0.01,0.009,0,0,0,0,0,0,0,0,0,0
"EB24PH075-S",0,0.548,0,0,0,0,0,0.046,0,0.256,0,0.03,0,0,0,0,0.12,0,0,0,0
"PH22SH004-S",0.708,0,0,0,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH015-S",0.878,0,0,0,0.003,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0,0.861,0,0,0.025,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0.964,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0
"PH23GAM007-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PH23SH005-S",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH005-S",0,0,0,0,0.99,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-S",0.417,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-F",0,0.183,0,0,0,0,0,0.167,0,0.038,0,0,0,0,0.369,0,0,0,0.16,0.083,0
