"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Pungitius pungitius","Hypomesus olidus","Ammodytes hexapterus","Myoxocephalus spp.","Boreogadus saida","Lepidopsetta spp.","Eurymen gyrinus","Coregonus spp."
"WADE-003-025","DL17HB001",20531,0,19940,0,67,0,0,0,0,0,0
"WADE-003-026","DL17OME001",35542,0,284,0,0,0,567,0,0,0,0
"WADE-003-027","DL18OME001",26316,0,0,0,0,31,0,0,0,0,0
"WADE-003-028","DL18OME002",1515,0,4,0,0,23,0,0,0,0,0
"WADE-003-029","DL18OME003",10979,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1479,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",49244,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",586,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",21653,0,400,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",8427,0,0,2,0,0,0,0,0,0,0
"WADE-003-036","DL22OME002",8127,0,2,0,0,0,0,0,0,0,0
"WADE-003-037","DL22OME003",14299,54,1038,0,0,64,0,0,0,0,0
"WADE-003-038","DL22OME004",6509,4102,48,0,0,0,0,199,0,382,0
"WADE-003-039","DL22OME005",18604,0,0,0,0,0,0,0,0,0,0
"WADE-003-041","DL22SCM001",546915,268,706013,95083,37160,0,0,0,0,0,0
"WADE-003-042","DL23OME001",30625,0,394,0,0,35,0,0,0,0,0
"WADE-003-043","DL23OME002",11413,0,0,0,0,1693,0,0,0,0,0
"WADE-003-044","DL23OME003",97,0,64,0,0,11,2060,0,48,0,0
"WADE-003-045","DL23SCM001",3189,0,131,0,937,0,0,0,0,0,206
