"","Species.y","Family","Abundance","Predator"
"1","Eleginus gracilis","Gadidae",1,"beluga whale"
"2","Gadus chalcogrammus","Gadidae",0.991824600520253,"ringed seal"
"3","Oncorhynchus kisutch","Salmonidae",0.925556858147714,"beluga whale"
"4","Boreogadus saida","Gadidae",0.922419928825623,"beluga whale"
"5","Clupea pallasii","Clupeidae",0.877479237909135,"ringed seal"
"6","Ammodytes hexapterus","Ammodytidae",0.873743016759777,"ringed seal"
"7","Hippoglossoides elassodon","Pleuronectidae",0.873344847438112,"bearded seal"
"8","Glyptocephalus zachirus","Pleuronectidae",0.825531534750759,"bearded seal"
"9","Hemilepidotus spp.","Cottidae",0.595586471575917,"bearded seal"
"10","Osmerus mordax","Osmeridae",0.511693996210884,"ringed seal"
"11","Platichthys stellatus","Pleuronectidae",0.419952210274791,"bearded seal"
"12","Liparis spp.","Liparidae",0.404413528424083,"bearded seal"
"13","Gymnocanthus tricuspis","Cottidae",0.217962760131435,"bearded seal"
"14","Hypomesus olidus","Osmeridae",0.189957787158409,"beluga whale"
"15","Leptoclinus maculatus","Stichaeidae",0.1762882603642,"bearded seal"
"16","Oncorhynchus keta","Salmonidae",0.131725417439703,"beluga whale"
"17","Pungitius pungitius","Gasterosteidae",0.0669166376628549,"beluga whale"
"18","Gymnocanthus spp.","Cottidae",0.0625314755749538,"ringed seal"
"19","Liparis tunicatus","Liparidae",0.0349994409034999,"bearded seal"
"20","Eurymen gyrinus",NA,0.0339857651245552,"beluga whale"
"21","Oncorhynchus gorbuscha","Salmonidae",0.0328253223915592,"beluga whale"
"22","Pleuronectes quadrituberculatus","Pleuronectidae",0.0269430921604835,"ringed seal"
"23","Coregonus laurettae","Salmonidae",0.0222634508348794,"beluga whale"
"24","Gadus spp.","Gadidae",0.0213523131672598,"beluga whale"
"25","Coregonus spp.","Salmonidae",0.0204399022439458,"beluga whale"
"26","Nautichthys pribilovius","Hemitripteridae",0.0189533713518953,"bearded seal"
"27","Stichaeus punctatus","Stichaeidae",0.0152371006787867,"bearded seal"
"28","Acantholumpenus mackayi","Stichaeidae",0.0108986957298553,"bearded seal"
"29","Myoxocephalus spp.","Cottidae",0.00929872142580395,"bearded seal"
"30","Mallotus villosus","Osmeridae",0.00594574507617986,"ringed seal"
"31","Ammodytes personatus","Ammodytidae",0.00523719165085389,"beluga whale"
"32","Liparis microstomus","Liparidae",0.00222965440356745,"ringed seal"
"33","Lumpenus sagitta","Stichaeidae",0.00142348754448399,"beluga whale"
"34","Gasterosteus aculeatus","Gasterosteidae",6.43997939206595e-05,"beluga whale"
"35","Gasterosteus spp.","Gasterosteidae",4.30572050850559e-05,"beluga whale"
"36","Myzopsetta proboscidea",NA,0.727799816905706,"bearded seal"
"37","Myoxocephalus scorpius",NA,0.538884524744698,"bearded seal"
"38","Coregonus nasus","Salmonidae",0.168081985164983,"beluga whale"
"39","Limanda aspera","Pleuronectidae",0.120689655172414,"ringed seal"
"40","Liopsetta glacialis",NA,0.0973451327433628,"bearded seal"
"41","Lumpenus spp.","Stichaeidae",0.0579798596277083,"bearded seal"
"42","Microcottus sellaris",NA,0.0336496980155306,"bearded seal"
"43","Gymnocanthus pistilliger","Cottidae",0.01413982717989,"bearded seal"
"44","Gadus macrocephalus",NA,0.0127753228219192,"beluga whale"
"45","Pallasina barbata","Agonidae",0.0103400093153237,"bearded seal"
"46","Myoxocephalus quadricornis","Cottidae",0.00761704981172304,"beluga whale"
"47","Esox lucius","Esocidae",0.00556451193509803,"beluga whale"
"48","Salvelinus spp.","Salmonidae",0.00395236361745281,"beluga whale"
"49","Oncorhynchus spp.","Salmonidae",0.000582415645523446,"beluga whale"
