"LabID","Specimen.ID","Aspergillus","Eleginus gracilis","Diphyllobothrium schistochilos","Osmerus mordax dentex","Flavobacterium","Boreogadus saida","ASV31","Mallotus villosus catervarius","Lumpenus sagitta","Ascaris lumbricoides","Liopsetta glacialis","Corynosoma semerme","Resseliella odai","Argis lar","Corynosoma obtuscens","Myoxocephalus scorpius","Lycodes turneri","Cucumariidae sp. EAC-2010a","Pseudostephanoeca","Polynoidae sp. CMC01","Pungitius pungitius","Clupea pallasii","Liparis bathyarcticus","Sarritor leptorhynchus","Marenzelleria arctia","Hypomesus olidus","Plagiorchis sp. 5 CO-2024","Megalocottus platycephalus","Sphingobacterium","Crangon hakodatei","Alcaligenes","Verticillium nonalfalfae","Pythium","ASV292"
"WADE-003-087","08BS09",0,0,0,0,0.005,0.06,0.736,0,0,0,0,0,0,0,0,0.03,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0
"WADE-003-094","08BS7",0,0,0.002,0,0,0.905,0.001,0,0.013,0.004,0,0,0,0.029,0,0,0.025,0,0.001,0.012,0,0,0,0.006,0,0,0.003,0,0,0,0,0,0,0
"WADE-003-081","2014BS18",0,0,0,0,0,0.801,0,0,0.169,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0.006
"WADE-003-060","EB14GAM025",0,0,0,0,0.917,0,0,0,0,0.003,0,0,0,0,0,0.037,0,0,0,0,0,0,0.04,0,0,0,0,0,0.003,0,0,0,0,0
"WADE-003-099","2023Beluga0721SA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-064","DL16HB001",0,0.007,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-063","DL16OME004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-091","DL22SCM001",0,0.019,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.004,0.006,0,0,0,0,0,0,0,0
"WADE-003-056","LDL-24-17",0.001,0.009,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.003,0,0,0.002,0.002,0
"WADE-003-050","PH14GAM027",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-048","PH15GAM051",0,0,0,0,0.005,0,0.005,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
"WADE-003-019","2021BDL-0708Sa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-025","DL17HB001",0,0.301,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",0,0.99,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-106","EB23SH008-S",0,0,0,0,0,0,0,0,0,0.035,0.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0
"WADE-003-115","PH22SH036-S",0,0,0,0.014,0,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-126","EB22GAM019-F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-129","EB23SH008-F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-135","PH22SH004-F",0,0.005,0,0,0,0,0,0,0,0,0,0.723,0,0,0.249,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",0,0.611,0,0.011,0,0.021,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0
